iter	MAE	RMSE
198	1.948889105	2.97075749
199	1.945369839	2.966699046
200	1.941705648	2.962513393
201	1.939376204	2.95801965
202	1.935340188	2.953470625
203	1.930659801	2.945960232
204	1.927943314	2.942816685
205	1.923675335	2.935047232
206	1.92046697	2.931473971
207	1.916874422	2.926885876
208	1.915024335	2.923850671
209	1.908903001	2.915295517
210	1.906772724	2.913074712
211	1.904980178	2.910996733
212	1.901657679	2.905241261
213	1.900001726	2.901924109
214	1.895891171	2.896635028
215	1.891755663	2.891995643
216	1.887935525	2.887696978
217	1.882442029	2.880105599
218	1.87901095	2.876151779
219	1.875470609	2.871209408
220	1.870498653	2.864008691
221	1.865882078	2.856969494
222	1.863628483	2.853521315
223	1.859042525	2.847082041
224	1.856808813	2.843095147
225	1.854475532	2.840707782
226	1.851797214	2.83775009
227	1.850173747	2.835713934
228	1.848377525	2.832753749
229	1.847034575	2.830859074
230	1.843259247	2.824968073
231	1.839386473	2.818200281
232	1.834713788	2.812531531
233	1.833334161	2.81086618
234	1.8291492	2.805501123
235	1.827824873	2.803177847
236	1.824333046	2.798588638
237	1.82165291	2.794695154
238	1.817310538	2.790232864
239	1.813883218	2.786705079
240	1.810801877	2.782511839
241	1.807652747	2.777609139
242	1.805359099	2.774450999
243	1.801556598	2.769644088
244	1.798729484	2.765454148
245	1.795816851	2.760118145
246	1.793386721	2.755788618
247	1.789375046	2.749487248
248	1.785198158	2.745484805
249	1.78281511	2.742347524
250	1.780054316	2.736937499
251	1.777224927	2.730771348
252	1.775603964	2.729211735
253	1.773060095	2.725539104
254	1.769361873	2.722047001
255	1.766062484	2.717807163
256	1.762755374	2.7132069
257	1.758933832	2.708739598
258	1.755860677	2.703479738
259	1.752302801	2.698611357
260	1.749355467	2.694580566
261	1.746621166	2.69161696
262	1.744503248	2.688925353
263	1.743660678	2.687290094
264	1.741083512	2.683385494
265	1.740140266	2.681543765
266	1.736430777	2.678166496
267	1.733715616	2.672748999
268	1.731255354	2.668419282
269	1.729250986	2.666234123
270	1.726500543	2.663652178
271	1.724151788	2.660955985
272	1.722554553	2.657682885
273	1.720145181	2.654221747
274	1.717557175	2.64923788
275	1.715355811	2.644701444
276	1.711335921	2.639172937
277	1.708387912	2.634645797
278	1.705319876	2.631107318
279	1.703110603	2.626861571
280	1.701585773	2.62344881
281	1.699807272	2.620099472
282	1.698563078	2.617746874
283	1.695558616	2.614776854
284	1.693822804	2.611651341
285	1.691929726	2.608442115
286	1.688943441	2.605712393
287	1.687005727	2.603547725
288	1.684082666	2.598775666
289	1.681931898	2.595544852
290	1.681297454	2.59420815
291	1.679856896	2.590830104
292	1.677307815	2.587700987
293	1.673830373	2.583405703
294	1.671186496	2.580769384
295	1.669731039	2.578511868
296	1.668655908	2.575954551
297	1.6655613	2.571251707
298	1.663103882	2.567777006
299	1.660782503	2.565234185
300	1.658721679	2.56181581
301	1.657700796	2.558914259
302	1.656592701	2.556941163
303	1.654562849	2.553919662
304	1.651734506	2.550359727
305	1.649154721	2.54675439
306	1.64702581	2.543179991
307	1.644528739	2.539022072
308	1.642333498	2.53552182
309	1.639840694	2.532415946
310	1.639029575	2.53056971
311	1.636794825	2.527704061
312	1.633121862	2.521670002
313	1.630836762	2.518839014
314	1.629857818	2.517422325
315	1.628483857	2.515458913
316	1.626107358	2.512129306
317	1.62470673	2.509407271
318	1.62238698	2.505621907
319	1.620731086	2.502528723
320	1.618498782	2.49955959
321	1.615740464	2.496647396
322	1.613427233	2.493497517
323	1.612115135	2.49110252
324	1.610239309	2.488347917
325	1.607304302	2.485090759
326	1.604494877	2.480532079
327	1.602945133	2.477935725
328	1.600467536	2.47533648
329	1.598144184	2.47161709
330	1.596175614	2.469428361
331	1.594108381	2.467109115
332	1.591782013	2.463739086
333	1.588903303	2.46072974
334	1.586332844	2.456804762
335	1.583982386	2.454595784
336	1.582149218	2.452301182
337	1.580901509	2.450089733
338	1.578240939	2.446369202
339	1.576631559	2.443569392
340	1.57526305	2.441680465
341	1.574294953	2.439826053
342	1.572368898	2.436435207
343	1.56991655	2.433472029
344	1.567983415	2.43101423
345	1.56595458	2.427326649
346	1.564182062	2.42513823
